"filename", "language", "Java Properties", "Java", "comment", "blank", "total"
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\BeginningEnding.java", "Java", 0, 45, 0, 4, 49
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\Currency.java", "Java", 0, 91, 0, 28, 119
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\Ee.java", "Java", 0, 38, 32, 10, 80
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\FileUpload.java", "Java", 0, 113, 0, 66, 179
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\File_erca_.java", "Java", 0, 99, 2, 6, 107
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\File_erca_.java", "Java", 0, 114, 1, 6, 121
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\File_rtgs__.java", "Java", 0, 224, 0, 165, 389
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\File_rtgs__ats.java", "Java", 0, 223, 0, 60, 283
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\GeneralTransactionHistory.java", "Java", 0, 98, 0, 27, 125
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\MatchDetailAts.java", "Java", 0, 80, 1, 6, 87
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\MatchDetail.java", "Java", 0, 80, 1, 7, 88
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\Notification.java", "Java", 0, 73, 0, 10, 83
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\SpecificTransactionHistory.java", "Java", 0, 55, 1, 5, 61
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\Transactionhistory.java", "Java", 0, 200, 1, 5, 206
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\notification\notificationController.java", "Java", 0, 3, 0, 3, 6
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\notification\notificationMapper.java", "Java", 0, 22, 0, 7, 29
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\notification\notificationModel.java", "Java", 0, 71, 1, 3, 75
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\notification\notificationService.java", "Java", 0, 28, 0, 10, 38
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\remark\AccountRemarkController.java", "Java", 0, 58, 0, 19, 77
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\remark\ReplayRemarkController.java", "Java", 0, 22, 0, 7, 29
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\remark\TotalRemark.java", "Java", 0, 14, 0, 4, 18
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\remark\remarkController.java", "Java", 0, 34, 0, 10, 44
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\remark\remarkMapper.java", "Java", 0, 64, 3, 21, 88
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\remark\remarkModel.java", "Java", 0, 114, 1, 3, 118
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\remark\remarkService.java", "Java", 0, 122, 3, 30, 155
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\service\AccountService.java", "Java", 0, 244, 24, 64, 332
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\service\AutomaticErcaService.java", "Java", 0, 47, 0, 13, 60
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\service\BTBService.java", "Java", 0, 1, 65, 0, 66
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\service\CurrencyService.java", "Java", 0, 157, 104, 46, 307
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\service\DashboardService.java", "Java", 0, 197, 39, 50, 286
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\service\ERCAService.java", "Java", 0, 381, 121, 83, 585
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\service\FileService.java", "Java", 0, 471, 83, 74, 628
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\service\RTGSService.java", "Java", 0, 1032, 66, 199, 1297
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\service\UploadExcelService_rtgs__.java", "Java", 0, 256, 32, 24, 312
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\service\UploadExcelService_rtgs__ats.java", "Java", 0, 239, 48, 20, 307
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\utils\ExcelHelper.java", "Java", 0, 441, 6, 41, 488
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\utils\ExcelUtils.java", "Java", 0, 128, 24, 15, 167
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\utils\PDFGenerator.java", "Java", 0, 298, 3, 44, 345
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\utils\Utils.java", "Java", 0, 170, 13, 41, 224
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\resources\application.properties", "Java Properties", 16, 0, 13, 16, 45
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\resources\utils_\utils_.properties", "Java Properties", 28, 0, 3, 7, 38
"Total", "-", 44, 13471, 1869, 3192, 18576
