"filename", "language", "Java", "Java Properties", "comment", "blank", "total"
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\mapper\MapperDashboard.java", "Java", 113, 0, 3, 45, 161
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\mapper\MapperIssueAccount.java", "Java", 224, 0, 3, 35, 262
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\mapper\MapperRTGS.java", "Java", 1652, 0, 130, 254, 2036
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\mapper\MapperReceivable.java", "Java", 157, 0, 0, 38, 195
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\mapper\RolebackMapper.java", "Java", 53, 0, 0, 16, 69
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\model\Account.java", "Java", 97, 0, 0, 23, 120
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\model\AtsBeginningEnding.java", "Java", 27, 0, 0, 4, 31
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\model\CoreBeginningEnding.java", "Java", 45, 0, 0, 4, 49
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\model\Currency.java", "Java", 91, 0, 0, 28, 119
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\model\Ee.java", "Java", 38, 0, 32, 10, 80
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\model\FileUpload.java", "Java", 113, 0, 0, 66, 179
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\model\File_erca_core.java", "Java", 99, 0, 2, 6, 107
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\model\File_erca_nbe.java", "Java", 114, 0, 1, 6, 121
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\model\File_rtgs_awb_core.java", "Java", 249, 0, 0, 77, 326
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\model\File_rtgs_nbe_ats.java", "Java", 232, 0, 0, 61, 293
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\model\GeneralTransactionHistory.java", "Java", 209, 0, 0, 8, 217
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\model\MatchDetailAts.java", "Java", 80, 0, 1, 6, 87
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\model\MatchDetailCore.java", "Java", 97, 0, 1, 50, 148
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\model\Notification.java", "Java", 73, 0, 0, 10, 83
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\model\SpecificTransactionHistory.java", "Java", 55, 0, 1, 5, 61
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\model\Transactionhistory.java", "Java", 320, 0, 0, 8, 328
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\notification\notificationController.java", "Java", 3, 0, 0, 3, 6
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\notification\notificationMapper.java", "Java", 22, 0, 0, 7, 29
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\notification\notificationModel.java", "Java", 71, 0, 1, 3, 75
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\notification\notificationService.java", "Java", 28, 0, 0, 10, 38
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\remark\AccountRemarkController.java", "Java", 58, 0, 0, 19, 77
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\remark\ReplayRemarkController.java", "Java", 22, 0, 0, 7, 29
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\remark\TotalRemark.java", "Java", 14, 0, 0, 4, 18
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\remark\remarkController.java", "Java", 34, 0, 0, 10, 44
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\remark\remarkMapper.java", "Java", 64, 0, 3, 21, 88
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\remark\remarkModel.java", "Java", 114, 0, 1, 3, 118
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\remark\remarkService.java", "Java", 122, 0, 3, 30, 155
